9,Publisher,"$10,695.00"
12,Publisher,"$22,560.00"
20,Publisher,"$26,060.00"
24,Cleaner,"$20,346.00"
25,Reviewer,"$24,087.00"
27,Reviewer,"$16,606.00"
29,Reviewer,"$24,304.00"
36,Reviewer,"$21,091.00"
38,Blog Writer,"$14,308.00"
41,Reviewer,"$26,438.00"
42,Cleaner,"$21,324.00"
46,Publisher,"$19,966.00"
49,Blog Writer,"$27,700.00"
50,Reviewer,"$24,743.00"
51,Publisher,"$18,911.00"
52,Blog Writer,"$10,380.00"
53,Publisher,"$8,587.00"
54,Cleaner,"$9,475.00"
55,Blog Writer,"$11,579.00"
56,Blog Writer,"$26,400.00"
57,Blog Writer,"$24,851.00"
58,Reviewer,"$25,961.00"
59,Reviewer,"$25,184.00"
60,Publisher,"$16,172.00"
61,Cleaner,"$24,422.00"
62,Publisher,"$10,679.00"
63,Blog Writer,"$13,852.00"
64,Publisher,"$25,301.00"
80,Cleaner,"$16,565.00"
81,Cleaner,"$8,232.00"
82,Cleaner,"$14,454.00"
83,Publisher,"$11,855.00"
84,Publisher,"$8,001.00"
85,Blog Writer,"$11,278.00"
86,Reviewer,"$11,058.00"
87,Cleaner,"$14,813.00"
88,Blog Writer,"$19,916.00"
89,Blog Writer,"$23,009.00"
90,Blog Writer,"$8,789.00"
91,Blog Writer,"$14,029.00"
92,Cleaner,"$25,779.00"
93,Blog Writer,"$21,989.00"
94,Blog Writer,"$24,922.00"
