0,18,2,Cabin,Balcony,1,1,Private Room,1502,Echo Parkway,Moncton,Alberta,Canada
1,13,5,Condo,Pool w/ balcony,2,2,Double Room,227,Easy Avenue,Windsor,Alberta,Canada
2,63,9,Room,Balcony,1,3,Unique Space,1805,Brockville Lane,Ottawa,Ontario,Canada
3,57,4,Apartment,Balcony,3,3,Double Room,1060,Easy Avenue,Toronto,Nova Scotia,Canada
4,3,10,Condo,Balcony,2,2,Private Room,1496,Cumberland,Toronto,Ontario,Canada
5,26,3,Room,Backyard,1,2,Double Room,721,Cumberland,Windsor,Nova Scotia,England
6,45,12,House,Pool w/ hot tub,2,3,Private Room,330,Easy Avenue,Moncton,Nova Scotia,England
7,3,4,Condo,Pool w/ balcony,2,2,Double Room,1604,Brockville Lane,Toronto,Ontario,England
8,56,8,Cabin,Backyard,1,2,Unique Space,303,Easy Avenue,Windsor,Nova Scotia,England
9,39,6,Room,Pool w/ balcony,3,3,Double Room,1476,Easy Avenue,Moncton,Alberta,England
10,50,6,Cabin,Pool w/ hot tub,3,2,Private Room,363,Cumberland,Ottawa,Ontario,Canada
11,13,4,Room,Balcony,2,1,Double Room,1784,Echo Parkway,Windsor,Nova Scotia,Canada
12,-1,9,Room,Backyard,2,1,Private Room,342,Cumberland,Moncton,Alberta,England
13,59,2,Apartment,Pool w/ hot tub,1,1,Double Room,1746,Cumberland,Ottawa,Ontario,England
14,18,1,Cabin,Pool w/ balcony,3,3,Unique Space,1441,Cumberland,Ottawa,Ontario,Canada
16,0,7,House,"Pool, deck, yard, and balcony",3,2,Full Property,193,Pointe West Drive,Amherstburg,ON,Canada
17,0,7,House,"Pool, deck, yard, and balcony",3,4,Full Property,193,Pointe West Drive,amhersburg,Ontario,Canada
18,0,7,House,"Pool, deck, yard, and balcony",3,3,Full Property,193,193 Point West Drive,Amherstbugr,Ontario,Canada
19,0,7,House,"Pool, deck, yard, and balcony",3,4,Full Property,193, Point West Drive,Amherstbugr,Ontario,Canada
